name,last_update,url,path
Búferlaflutningar innanlands eftir kyni og aldri 1986-2018,2019-04-11T09:00:43Z,http://px.hagstofa.is/pxis/api/v1/is/Ibuar/buferlaflutningar/buferlaflinnanlands/buferlaflinnanlandseldra/MAN01101.px,Ibuar - Búferlaflutningar - Búferlaflutningar innanlands - Búferlaflutningar innanlands - eldra efni
"Búferlaflutningar eftir byggðakjörnum, strjálbýli og kyni 2011-2017",2019-04-11T09:00:43Z,http://px.hagstofa.is/pxis/api/v1/is/Ibuar/buferlaflutningar/buferlaflinnanlands/buferlaflinnanlandseldra/MAN01202.px,Ibuar - Búferlaflutningar - Búferlaflutningar innanlands - Búferlaflutningar innanlands - eldra efni
"Búferlaflutningar eftir byggðakjörnum, strjálbýli og kyni 2000-2011",2019-04-11T09:00:43Z,http://px.hagstofa.is/pxis/api/v1/is/Ibuar/buferlaflutningar/buferlaflinnanlands/buferlaflinnanlandseldra/MAN01203.px,Ibuar - Búferlaflutningar - Búferlaflutningar innanlands - Búferlaflutningar innanlands - eldra efni
"Brautskráðir stúdentar eftir landsvæði, aldursflokki og kyni 1995-2016",2019-04-04T08:59:32Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/skolamal/3_framhaldsskolastig/4_fseldra/SKO03211.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Yfirlit - Leikskólastig - Grunnskólastig - Framhaldsskóla- og viðbótarstig - Nemendur - Brautskráningar - Starfsfólk - Skólahald - Framhaldsskólastig - eldra efni
"Brautskráðir nemendur eftir skólastigi, landsvæði, aldursflokki og kyni 1995-2016",2019-04-04T08:59:32Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/skolamal/4_haskolastig/3_hseldra/SKO04211.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Yfirlit - Leikskólastig - Grunnskólastig - Framhaldsskóla- og viðbótarstig - Háskóla- og doktorsstig - Nemendur - Brautskráningar - Starfsfólk - Háskólastig - eldra efni
"Brautskráningar á framhaldsskólastigi eftir próftegund, aldursflokki og kyni 1995-2016",2019-04-04T08:59:32Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/skolamal/3_framhaldsskolastig/4_fseldra/SKO03213.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Yfirlit - Leikskólastig - Grunnskólastig - Framhaldsskóla- og viðbótarstig - Nemendur - Brautskráningar - Starfsfólk - Skólahald - Framhaldsskólastig - eldra efni
"Brautskráningar á viðbótarstigi eftir próftegund, aldursflokki og kyni 1995-2016",2019-04-04T08:59:32Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/skolamal/3_framhaldsskolastig/4_fseldra/SKO03217.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Yfirlit - Leikskólastig - Grunnskólastig - Framhaldsskóla- og viðbótarstig - Nemendur - Brautskráningar - Starfsfólk - Skólahald - Framhaldsskólastig - eldra efni
"Brautskráningar á háskólastigi og doktorsstigi eftir prófgráðu, aldursflokki og kyni 1995-2016",2019-04-04T08:59:32Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/skolamal/4_haskolastig/3_hseldra/SKO04213.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Yfirlit - Leikskólastig - Grunnskólastig - Framhaldsskóla- og viðbótarstig - Háskóla- og doktorsstig - Nemendur - Brautskráningar - Starfsfólk - Háskólastig - eldra efni
Úrskurðir Siðanefndar Blaðamannafélags Íslands 1985-2018,2019-04-03T15:21:13Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/midlun/1_Fjolmidlar/sidanefnd/MEN13101.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Fjölmiðlar - Auglýsingar - Blöð - Félög fjölmiðlafólks - Tekjur fjölmiðla - Hljóðvarp - Úrskurðir Siðanefndar Blaðamannafélags Íslands
Úrskurðir Siðanefndar Blaðamannafélags Íslands eftir fjölmiðlum 1985-2018,2019-04-03T15:21:13Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/midlun/1_Fjolmidlar/sidanefnd/MEN13102.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Fjölmiðlar - Auglýsingar - Blöð - Félög fjölmiðlafólks - Tekjur fjölmiðla - Hljóðvarp - Úrskurðir Siðanefndar Blaðamannafélags Íslands
